indicator,type,risk,stamp_updated,stamp_seen,city,country,countrycode,org,reference
103.228.152.141,ip,high,"2021-04-24 01:43:47","2021-04-24 01:43:47",Bengaluru,India,IN,"Web Werks India Pvt. Ltd.",https://pulsedive.com/indicator/?iid=35781
103.15.62.21,ip,high,"2021-05-14 21:59:43","2021-05-14 21:59:43",Hyderabad,India,IN,"Apollo Online Services Pvt ltd",https://pulsedive.com/indicator/?iid=36323
104.167.9.200,ip,high,"2021-05-14 22:25:38","2021-05-14 22:25:38",,"United States of America",US,CLOUD-SOUTH,https://pulsedive.com/indicator/?iid=41285
103.55.61.53,ip,high,"2021-05-14 22:15:20","2021-05-14 22:15:20",Delhi,India,IN,"Ani Network Pvt Ltd",https://pulsedive.com/indicator/?iid=48475
117.240.14.27,ip,high,"2021-05-26 08:58:46","2021-04-27 20:50:00",,Array,IN,Array,https://pulsedive.com/indicator/?iid=48635
110.45.145.204,ip,high,"2021-03-19 21:07:18","2021-03-19 21:07:18",,"Korea, The Republic of",KR,"LG DACOM Corporation",https://pulsedive.com/indicator/?iid=56326
69.195.146.158,ip,high,"2021-05-26 18:53:02","2021-04-27 20:05:33",,"United States of America",US,JOESDATACENTER,https://pulsedive.com/indicator/?iid=75354
82.165.68.165,ip,high,"2021-05-26 18:53:17","2021-04-27 20:08:29",,Germany,DE,"1&1 Ionos Se",https://pulsedive.com/indicator/?iid=78488
103.234.68.113,ip,high,"2021-05-14 22:05:28","2021-05-14 22:05:28",,India,IN,"CtrlS Datacenters Ltd.",https://pulsedive.com/indicator/?iid=81935
115.249.139.206,ip,high,"2021-03-20 01:25:37","2021-03-20 01:25:37",,Array,IN,"Reliance Communications Ltd.DAKC MUMBAI",https://pulsedive.com/indicator/?iid=91870
112.78.1.74,ip,high,"2021-03-19 22:37:05","2021-03-19 22:37:05",,"Viet Nam",VN,"Online data services",https://pulsedive.com/indicator/?iid=103344
103.27.236.77,ip,high,"2021-05-09 10:57:42","2021-05-09 10:57:42",,"Viet Nam",VN,"Long Van System Solution JSC",https://pulsedive.com/indicator/?iid=103855
203.236.51.35,ip,high,"2021-05-18 11:11:31","2021-05-18 11:11:32",,"Korea, The Republic of",KR,"Korea Telecom",https://pulsedive.com/indicator/?iid=117804
60.174.192.240,ip,high,"2021-03-30 21:51:46","2021-03-30 21:51:46",Baoshan,China,CN,Chinanet,https://pulsedive.com/indicator/?iid=118078
113.8.194.3,ip,high,"2021-05-26 03:36:38","2021-03-19 23:37:25",Taoshan,China,CN,"CHINA UNICOM China169 Backbone",https://pulsedive.com/indicator/?iid=118425
123.138.199.66,ip,high,"2021-05-08 23:45:10","2021-05-08 23:45:10",Qianyou,China,CN,"CHINA UNICOM China169 Backbone",https://pulsedive.com/indicator/?iid=118799
113.214.255.37,ip,high,"2021-03-19 23:27:30","2021-03-19 23:27:30",,China,CN,Chinanet,https://pulsedive.com/indicator/?iid=118856
113.200.246.58,ip,high,"2021-03-19 23:21:11","2021-03-19 23:21:11",,China,CN,"CHINA UNICOM China169 Backbone",https://pulsedive.com/indicator/?iid=118966
183.102.114.251,ip,high,"2021-05-13 08:05:58","2021-05-13 08:05:58",Gangseo-gu,"Korea, The Republic of",KR,"Korea Telecom",https://pulsedive.com/indicator/?iid=119065
112.91.108.190,ip,high,"2021-03-19 22:39:05","2021-03-19 22:39:05",Huizhou,China,CN,"China Unicom IP network China169 Guangdong province",https://pulsedive.com/indicator/?iid=119284
96.57.82.166,ip,high,"2021-05-16 06:33:52","2021-05-16 06:33:52",Array,"United States of America",US,Array,https://pulsedive.com/indicator/?iid=120192
116.193.77.120,ip,high,"2021-03-20 09:59:54","2021-03-20 09:59:54",,"Viet Nam",VN,"Quang Trung Software City Development Company",https://pulsedive.com/indicator/?iid=120337
115.84.92.3,ip,high,"2021-03-20 05:31:16","2021-03-20 05:31:16",Sainyabuli,Array,LA,"Lao Telecom Communication, LTC",https://pulsedive.com/indicator/?iid=120640
109.232.108.62,ip,high,"2021-03-19 20:54:26","2021-03-19 20:54:26",Moscow,"Russian Federation",RU,"Thyphone Communications LLC",https://pulsedive.com/indicator/?iid=120677
78.110.50.106,ip,high,"2021-05-09 10:00:38","2021-05-09 10:00:38",Moscow,"Russian Federation",RU,"ZAO Hosting Telesystems",https://pulsedive.com/indicator/?iid=123364
1.9.16.165,ip,high,"2021-05-14 21:44:59","2021-05-14 21:44:59","Petaling Jaya",Array,MY,Array,https://pulsedive.com/indicator/?iid=126719
