sha256,threat_level,md5,sha1,family,size,type,domains,processes,files
9eb5325e39e665110b715eb89b3a9b7ae3635976a272b13b254aec0e4693acd6,2,bc402b3b02e27fa7a1d126d130893750,a787aab897be7ff38381b1542212ad5416fca882,,21821201,EXE,www.blackievirus.com,wscript.exe,123.exe|help2.vbs|ad[1].htm|xe2.ini
41be7a7087b028a8deb626593b087347a62581fdb3e6e8d23e5ef15d14f58f6d,2,ca334d0540f1826d36fab8d291c99338,104514512809142674d48dd75eb23756ebfcb66d,Dridex,16013232,EXE,www.blackievirus.com,wscript.exe|taskhost.exe,41be7a7087b028a8deb626593b087347a62581fdb3e6e8d23e5ef15d14f58f6d.exe2.exe|help2.vbs|xe2.ini
05720c6ed1065a2879469c799958299e6630cf0f9826e31d735e223f6f67ce23,0,77a1648d34bdcb76d80ff7fa37735c6f,f3a0472241f2f9ec056f7a792d437352777e5e04,,67584,EXE,,rundll32.exe|rundll32.exe,
22b88fe3a84fae1c7c1fd9479abded57e78e66d88391a1ba15f4909d86c3fb56,0,423eadcaa003bf8a36676549799a104f,e717bc6fb629303be8c62b86f31d46fed29d811f,,16896,EXE,,werfault.exe,
9a924c8d7d750067d49b29ac04c048213cebe1bbaf2ba6081c8de3c4be4ff68d,0,6a8e589b69124c6759609eb1aa12ae73,9ed03e0b9c6edba3554ee978d10dfa9dcb90288e,,950688,EXE,,taskhost.exe,
f8e457256de1a463e16aba1dc977ecc50808f783781a2f1a179136cabd5f3790,2,0f3a4c5ab705baed9587a4467cee42a4,0ace7b93f1e3ae5da4f5a2071de3110287aa192c,,1495988,EXE,,explorer.exe|spoolsv.exe|svchost.exe|spoolsv.exe|at.exe|taskhost.exe|at.exe,svchost.exe|explorer.exe|cmsys.cmn|~dfb070f12bd2f450ab.tmp|~df21a7c2185cfeffbb.tmp|mrsys.exe|~df51e64e6cda011bce.tmp|~dfeaa9fb85cfb40fdf.tmp|spoolsv.exe|~df3c03e63392b021ad.tmp
545a805f6f0c54b21c231025a60da01c18ee361e35274825ca347d92f63486d4,0,7b2c2b094ce290763cb313f2ff800376,0e43a17c1542ac388543c3b3f328297d808a46af,,327294,EXE,watson.microsoft.com,rundll32.exe|werfault.exe,
620226b21d9a6b7b00363949c0b206c2fecc057242ed39a1a68a837084c4dd08,0,376e8b250703657d2266243c3557a74c,da2f360065dd26d091112bc6099d2e7123933f0f,,53672,EXE,,cmd.exe,
97928778cf2ebcde04be4a964a41e8dc90921755e38308ef2af6a328c8595a41,2,b3615e995cc3dd2e2cc19ee489c04697,81a7cc5677e70391122a3c6ef6ddee15ee92c1da,,9490575,EXE,www.blackievirus.com,wscript.exe,123.exe|help2.vbs|ad[1].htm|xe2.ini
7ca6328f1054ae183489039cc5898647de4b36366308d71baf978b4f5c5f8029,0,d28d636566f22883efde98f56e59bec3,d86d135e1528c612500674369c234e88601dc88e,,9728,EXE,,rundll32.exe,
